id,origin,normalize,predict
6988954,alert+app+application+arounda+concept+golden grid+houseplant+illustration+interface+leaf+list+mobile+nature+notification+plant+ratio+schedule+sketch+ui+ux,ui+plant+interface+houseplant+list+sketch+notification+website+mobile+illustration+ratio+ux+alert+golden grid+arounda+concept+nature+schedule+leaf,mobile+website
6278111,app+camera+clean+contact+design+details+gallery+list+message+mobile+news+photo+picture+question+share+ui,contact+camera+ui+message+mobile+share+gallery+details+picture+list+design+news+photo+simple+website+question,mobile+website
3850576,bank+chart+cryptocurrency+dashboard+finance+financial+fintech+gauge+graph+map+statistics+stats,statistics+gauge+chart+cryptocurrency+stats+map+dashboard+fintech+finance+graph,mobile+chart+dashboard+finance
5995075,badges+courses+illustration+landing page+learning+list+ui+ux+web,learning+landing+courses+ui+illustration+ux+list+badges+website,mobile+website+landing
6547889,activity heart beat+blood pressure+calendar filter days+dashboard infographic chart+date change list+mobile product design+progress bar loading+steps counter graph,date change list+dashboard infographic chart+calendar filter days+blood pressure+activity heart beat+progress bar loading+steps counter graph+mobile product design,website
5453168,app+chat+contact+description+gallery+hiwow+list+location+message+mobile+price+search+travelling+ui,price+hiwow+travel+contact+location+ui+search+social+message+mobile+gallery+list+description+website,mobile+website+travel
6461891,app+clean+details+itunes+list+media+menu+movie+music+player+profile+store+tv+ui+video+web,movie+ui+menu+mobile+itunes+details+store+list+tv+player+profile+video+music+media+simple+website,mobile+website+profile+music
6661328,af+app+browse+dashboard+flat+furniture+ios+iphone+list+minimal+mobile+sexy+shop+simple+ui+ux,af+sexy+ui+mobile+flat+browse+ux+shop+dashboard+list+simple+ios+website+furniture,mobile+website+dashboard
6590865,app+charts+design+list+minimal+task manager+user interface,ui+mobile+task manager+list+design+charts+simple,mobile+website
6742896,app+apple+buy+clean+e-commerce+expensive+flat+high-end+interface+jewelry+limited+list+luxurious+luxury+material+mobile+modern+perfume+store+ui,ui+limited+interface+list+perfume+jewelry+luxury+website+buy+mobile+luxurious+material+store+ecommerce+apple+high-end+modern+expensive+flat+simple,mobile+website+ecommerce+music
6246698,app+avatars+color+cta+design+flat+gallery+instagram+interface+like+list+material+navigation+network+redesign+social+stories+ui,stories+ui+social+redesign+mobile+flat+navigation+interface+color+gallery+material+cta+avatars+list+design+network+like,mobile+website+music
6539526,activities+app+apple+categories+colorful+curve+dark+discover+flat+interface+list+map+material+meet+meeting+meet up+platform+round+social+ui,meet up+ui+interface+platform+list+round+mobile+discover+material+categories+social+apple+activities+map+meet+black+meeting+colorful+curve+flat,mobile+black
6980743,after effects+animation+application+cards+case study+clean+groups+illustration+ios+mobile ui+product design+ui+user list+ux+yellow,user list+yellow+ui+mobile+illustration+groups+ux+cards+after effects+ios+simple+case study+animation+mobile ui+product design,mobile+yellow
5550526,ads+app+apple+banner+blur+color+dark+design+flat+floating+interface+itunes+list+mac+material+music+play+store+transparent+ui,play+blur+ui+interface+floating+list+design+mobile+transparent+color+material+store+banner+ads+apple+black+flat+mac+itunes+music,mobile+music+black
4233468,chart+chripcase+clean+dashboard+designer+graph+lawyer+list+minimal+ui+ux+while,ui+chart+lawyer+ux+designer+dashboard+list+chripcase+graph+simple+while,mobile+chart+dashboard
6375976,app+applicaiton+blue+card+chat+clean+design+emoji+graphics+interface+list+message+mobile+sketch+typography+ui+ux+white+write,ui+interface+list+sketch+write+design+emoji+website+graphics+mobile+ux+applicaiton+social+blue+message+typography+card+white+simple,mobile+website+white+blue
6575735,app+applepencil+black+cards+category+colorful+contrast+dark+design+gui+illustrations+list+listing+minimalistic+mobile+theme+tutorials+ui,tutorials+category+illustrations+colorful+listing+gui+ui+mobile+applepencil+theme+cards+list+black+design+simple+contrast+website,mobile+website+black
6868836,app+audio+blog+calendar+clean+date+details+gallery+list+map+message+mobile+profile+search+share+travel+trip+ui+video+voice,ui+calendar+list+website+mobile+audio+search+social+date+share+details+map+voice+profile+travel+message+gallery+video+simple,mobile+website+profile+travel
5873268,app+avatars+details+event+flat+gradients+ios+list+long+meet+message+send+shadows+sms+text+ui+yoga,send+sms+yoga+event+ui+shadows+message+mobile+flat+details+long+avatars+list+meet+ios+text+gradients,mobile
6764955,app+clean+details+gallery+list+message+mobile+price+profile+search+shop+ui+video,price+ui+search+message+mobile+gallery+details+shop+list+profile+video+simple+website,mobile+website+profile+travel
6785639,app+dashboard+flat+ios+iphone+itinerary+list+mobile+travel+ui+ux,travel+ui+mobile+flat+ux+dashboard+list+itinerary+ios+website,mobile+website+dashboard+travel
6938860,customer+dashboad+ecommerce+interface+kosinov+list+orders+products+simple+ui+ux,orders+products+ecommerce+ui+interface+ux+customer+list+kosinov+simple+dashboad,mobile+dashboard+ecommerce
6518869,clean+clean ui+colors+dashboard+design+download+gradient+interactive design+landing page+minimal+mockup+modern ui+new+screenshots+time tracker+todo+to-do list+ui+ux+web,gradient+ui+dashboard+design+interactive design+modern ui+download+website+new+todo+ux+to-do list+colors+mockup+screenshots+landing+clean ui+time tracker+simple,mobile+website+dashboard+landing
6265625,app+card+design+hotel+list+map+sketch+tourism+ui+vector,travel+ui+mobile+map+list+sketch+design+vector+card+hotel,mobile+travel
6478503,animation+app+chart+crypto+crypto currency+dashboard+digital+finance+flat+graph+interface+investment+list+market+material+platform+stats+trade+ui+wallet,crypto currency+ui+interface+platform+dashboard+list+trade+market+mobile+material+investment+digital+finance+animation+graph+chart+flat+stats+crypto,mobile+chart+dashboard+finance
5574978,after effect+after-effects+animation+black friday+design+fashion app+iphone+mobile+motion+motion-design+motiongraphics+shop app+ui+ui8+ux,motiongraphics+ui8+ui+motion+shop app+black friday+mobile+fashion app+motion-design+ux+design+animation+after effect+after-effects+website,mobile+website+music
5213950,clean+duotone+football+interface+landing page+list+listing+nfl+sport+sports+teams+ui+ux+web+web design+website,web design+landing+teams+listing+sport+ui+duotone+interface+ux+list+football+simple+nfl+website,mobile+website+landing+sport
4193167,app+cart+delivery+food+ios+list+mobile+order+profile+restaurant+shopping+summary,shopping+cart+mobile+list+order+delivery+profile+summary+food+ios+website,mobile+website+profile+food
6322579,admin panel+calendar+dashboard+employee+filter+internia+management app+mobile+notifications+planing+planning+projects+saas+salary+schedule+task list+task management+team,employee+salary+task list+calendar+team+dashboard+admin panel+internia+website+mobile+planing+projects+planning+task management+saas+notifications+filter+management app+schedule,mobile+website+dashboard
