id,origin,normalize,predict
5094044,case study+dashboard+filters+flights+list+mobile+preferences+sort+travel+trip+ui+uidesign+userprofile,list+preferences+filters+flights+case study+userprofile+website+sort+travel+ui+mobile+dashboard,mobile+website+dashboard+travel
2825124,android+clean+delete+flat+iphone+list+material+menu+mobile+slide+tag+travel,list+delete+material+travel+menu+android+simple+website+flat+tag+slide+mobile,mobile+website+travel
1932440,app+application+bar+blablacar+ios+iphone+list+mobile+search+tab+travel,list+ios+bar+search+tab+website+travel+mobile+blablacar,mobile+website+travel+music
2833724,android+clean+delete+flat+iphone+list+material+menu+mobile+slide+tag+travel,list+delete+material+travel+menu+android+simple+website+flat+tag+slide+mobile,mobile+website+travel
6037371,app+augmented+augmentedreality+daily+dailyui+distance+friends+friends list+future+interface+iphone+maiden+map+mobile+navigation+street+tourism+tower+travel,distance+map+travel+friends list+navigation+friends+daily+street+maiden+interface+ui+augmentedreality+website+future+mobile+augmented+tower,mobile+website+travel
2846069,adventure+android+app+chat+ios+kicktrip+list+mobile+travel,kicktrip+list+adventure+android+website+travel+ios+social+mobile,mobile+website+travel
4012495,app+card+clean+feed+icon+ios+ios10+journey+list+mobile+travel+ui,card+journey+ios10+ios+list+icon+feed+simple+website+travel+ui+mobile,mobile+website+travel
6139601,100 daily ui+100 day ui challenge+adobe xd+dailyui+daily ui+daily ui 019+dailyui 019+daily ui challenge+design+layout+list+minimalist+mobile design+travel+ui+uidesign+uipractice+ui ux+web design,list+daily ui 019+dailyui 019+daily ui challenge+layout+minimalist+ui ux+design+100 day ui challenge+adobe xd+uipractice+ui+website+travel+mobile+100 daily ui+web design,mobile+website+travel
5516047,apps+booking+css+faq+flight+home+hotel+html+landing+list+mobile+page+ticket+travel+web+website,ticket+list+hotel+css+faq+booking+html+home+page+apps+flight+landing+website+travel+mobile,mobile+website+travel
3276280,android+app+design+interface+list+mobile+property+travel+user+view,list+design+android+interface+website+property+travel+user+mobile+view,mobile+website+travel
5899451,business+cal+expense+highlight+insight+list+mobile app+money+report+table+travel+trip,list+insight+report+table+highlight+cal+website+travel+business+money+mobile+expense,mobile+website+travel
5918165,airline+business+card+flight+flight booking+itinerary+journey+list+mobile+ticket+travel,card+journey+list+ticket+flight booking+airline+flight+itinerary+website+travel+business+mobile,mobile+website+travel
6699911,app+card+flat+list+map+mobile+national park+route+tourist+travel+trip+ui+ux,card+list+map+travel+route+website+ui+flat+mobile+national park+ux,mobile+website+travel
5965699,accommodation+hotel list+hotels+list view+mobile app+side bar+side menu+travel+user interface+ux+ux ui,ux ui+list view+hotel list+accommodation+side bar+website+ui+travel+hotels+side menu+mobile+ux,mobile+website+travel
5539610,airlines+app design+booking+checklist+check list+clean+interaction+ios+microinteractions+mobile+product design+travel+trip+ui+ux,ios+travel+booking+microinteractions+interaction+product design+check list+airlines+simple+website+checklist+ui+mobile+ux,mobile+website+travel
4287577,design+guide+interface+ios+kamino+list+ljubljana+mobile+poi+slovenia+travel,list+slovenia+ljubljana+poi+design+kamino+interface+website+travel+guide+ios+mobile,mobile+website+travel
5589926,app+app design+design+forms+interactions+list+mobile+thank you+travel+ui+ux,list+interactions+design+forms+website+ui+travel+mobile+thank you+ux,mobile+website+travel
3753033,app+bus+concept+interface+iphone+mobile+navigation+search+travel+ui+ux+web,search+interface+bus+website+travel+ui+concept+mobile+navigation+ux,mobile+website+travel
5318595,app+daily ui+daily ui challenge+design+desktop+illustration+interface+itinerary+list+mobile+plan+route+schedule+time+todo+tour+travel+typography+ui+ux,list+route+interface+typography+itinerary+travel+illustration+website+time+daily ui challenge+ui+schedule+plan+desktop+mobile+design+tour+todo+ux,mobile+website+travel
410993,app+application+car+hotel+hotels+interface+ios+iphone+list+mobile+photo+rating+rent+retina+stars+travel+ui+ux,retina+list+ios+stars+travel+hotel+car+hotels+interface+website+photo+rent+ui+mobile+rating+ux,mobile+website+travel
4691427,app+branding+dashboard+explore+icons+list+location+mobile+nearby+profile+search+travel,location+profile+list+travel+nearby+icons+search+explore+website+branding+mobile+dashboard,mobile+website+dashboard+profile+travel
904420,anchor+app+application+boat+boatman+diary+flat+guest+interaction design+ios+ipad+ipad app+list+management+menu+mobile+mobile app+schedule+travel+ui+user interface+ux,list+management+boat+guest+interaction design+menu+travel+ipad app+website+diary+boatman+ui+schedule+flat+mobile+ipad+anchor+ios+ux,mobile+website+travel
1542588,app+booking+hotel+ios+iphone+list+mobile+sketch+travel+ui+vacation,list+ios+hotel+booking+sketch+website+ui+travel+mobile,mobile+website+travel
967115,android+gogobot+list+mobile+travel,list+android+travel+website+gogobot+mobile,mobile+website+travel
